lago,fecha,porcentaje_afectado,area_afectada_ha,pixeles_afectados,pixeles_agua
Amatitlan,2025-01-28,94.73,32.52,3252,3433
Amatitlan,2025-04-15,97.85,33.61,3361,3435
Amatitlan,2025-04-28,97.36,33.58,3358,3449
Amatitlan,2025-11-24,65.79,22.6,2260,3435
Amatitlan,2026-01-08,95.65,32.97,3297,3447
Amatitlan,2026-02-02,97.67,33.59,3359,3439
Amatitlan,2026-02-07,97.51,33.63,3363,3449
Amatitlan,2026-03-29,97.62,33.6,3360,3442
Amatitlan,2026-04-13,97.08,33.63,3363,3464
Amatitlan,2026-04-28,97.59,33.65,3365,3448
Amatitlan,2026-06-19,97.82,33.64,3364,3439
Atitlan,2025-01-18,69.39,23.98,2398,3456
Atitlan,2025-04-13,97.48,33.65,3365,3452
Atitlan,2025-05-13,97.85,33.63,3363,3437
Atitlan,2025-07-17,97.67,33.59,3359,3439
Atitlan,2025-11-21,39.4,13.61,1361,3454
Atitlan,2025-12-29,50.76,17.44,1744,3436
Atitlan,2026-02-12,92.79,31.92,3192,3440
Atitlan,2026-03-24,97.53,33.57,3357,3442
Atitlan,2026-04-13,97.79,33.63,3363,3439
Atitlan,2026-04-28,97.88,33.63,3363,3436
Atitlan,2026-07-22,97.31,33.63,3363,3456
