archivo,lago,fecha,tamano_MB,n_bandas,nombres_bandas,ancho,alto,crs,transform,res_x,res_y,bounds,dtype,nodata,pixeles_totales,pixeles_validos,validos_pct,alineacion_interna_ok,cobertura_completa,coleccion,identificadores_adquisicion
outputs\rasters\Amatitlan\Amatitlan_2025-01-28.tif,Amatitlan,2025-01-28,5.286,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2B_MSIL1C_20250128T162439_N0511_R040_T15PYR_20250128T195228.SAFE;S2B_MSIL1C_20250128T162439_N0511_R040_T15PYS_20250128T195228.SAFE
outputs\rasters\Amatitlan\Amatitlan_2025-04-15.tif,Amatitlan,2025-04-15,5.3,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2A_MSIL1C_20250415T162701_N0511_R040_T15PYR_20250416T005256.SAFE;S2A_MSIL1C_20250415T162701_N0511_R040_T15PYS_20250416T005256.SAFE
outputs\rasters\Amatitlan\Amatitlan_2025-04-28.tif,Amatitlan,2025-04-28,5.396,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2B_MSIL1C_20250428T161829_N0511_R040_T15PYS_20250428T210450.SAFE;S2B_MSIL1C_20250428T161829_N0511_R040_T15PYR_20250428T210450.SAFE
outputs\rasters\Amatitlan\Amatitlan_2025-11-24.tif,Amatitlan,2025-11-24,5.194,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304272,97.342,True,True,SENTINEL2_L1C,S2B_MSIL1C_20251124T162519_N0511_R040_T15PYR_20251124T195251.SAFE;S2B_MSIL1C_20251124T162519_N0511_R040_T15PYS_20251124T195251.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-01-08.tif,Amatitlan,2026-01-08,5.299,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2C_MSIL1C_20260108T162651_N0511_R040_T15PYS_20260108T181716.SAFE;S2C_MSIL1C_20260108T162651_N0511_R040_T15PYR_20260108T181716.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-02-02.tif,Amatitlan,2026-02-02,5.282,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2B_MSIL1C_20260202T162409_N0511_R040_T15PYS_20260202T195107.SAFE;S2B_MSIL1C_20260202T162409_N0511_R040_T15PYR_20260202T195107.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-02-07.tif,Amatitlan,2026-02-07,5.264,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2C_MSIL1C_20260207T162441_N0512_R040_T15PYS_20260207T182105.SAFE;S2C_MSIL1C_20260207T162441_N0512_R040_T15PYR_20260207T182105.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-03-29.tif,Amatitlan,2026-03-29,5.375,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2C_MSIL1C_20260329T161851_N0512_R040_T15PYS_20260329T195658.SAFE;S2C_MSIL1C_20260329T161851_N0512_R040_T15PYR_20260329T195658.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-04-13.tif,Amatitlan,2026-04-13,5.363,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2B_MSIL1C_20260413T161829_N0512_R040_T15PYS_20260413T195141.SAFE;S2B_MSIL1C_20260413T161829_N0512_R040_T15PYR_20260413T195141.SAFE
outputs\rasters\Amatitlan\Amatitlan_2026-04-28.tif,Amatitlan,2026-04-28,5.217,9,"B02,B03,B04,B05,B07,B08,B8A,B11,B12",681,459,EPSG:32615,"20.000000,0.000000,754560.000000,0.000000,-20.000000,1603800.000000",20.0,20.0,"754560.000,1594620.000,768180.000,1603800.000",float32,-9999.0,312579,304273,97.343,True,True,SENTINEL2_L1C,S2C_MSIL1C_20260428T161901_N0512_R040_T15PYR_20260428T195630.SAFE;S2C_MSIL1C_20260428T161901_N0512_R040_T15PYS_20260428T195630.SAFE
