lago,var_a,var_b,pearson
Amatitlan,NDVI,NDWI,-0.9346316963871727
Amatitlan,NDCI,NDVI,0.755998659488656
Amatitlan,NDCI,NDWI,-0.5752096171716016
Amatitlan,FAI,NDVI,0.8508325958144718
Amatitlan,FAI,NDWI,-0.7430707687376252
Amatitlan,FAI,NDCI,0.8147297624891097
Amatitlan,Clorofila-a,NDVI,0.7550633559894414
Amatitlan,Clorofila-a,NDWI,-0.6128326011672199
Amatitlan,Clorofila-a,NDCI,0.7759174056924232
Amatitlan,Clorofila-a,FAI,0.8821575360397055
Atitlan,NDVI,NDWI,-0.9381395061734914
Atitlan,NDCI,NDVI,0.6657813111781059
Atitlan,NDCI,NDWI,-0.633321988808117
Atitlan,FAI,NDVI,0.4410464273399452
Atitlan,FAI,NDWI,-0.30785694909723055
Atitlan,FAI,NDCI,0.5435346814951841
Atitlan,Clorofila-a,NDVI,0.6197643194477447
Atitlan,Clorofila-a,NDWI,-0.5999812650435405
Atitlan,Clorofila-a,NDCI,0.8897308061231207
Atitlan,Clorofila-a,FAI,0.41864067148124706
