lago,fecha,umbral_ug_L,pixeles_positivos,pixeles_agua,pct_area_afectada,area_afectada_ha,area_agua_total_ha
Amatitlan,2025-01-28,8.0,44,36550,0.12038303693570451,1.76,1462.0
Amatitlan,2025-01-28,20.0,5,36550,0.013679890560875513,0.2,1462.0
Amatitlan,2025-01-28,25.0,0,36550,0.0,0.0,1462.0
Amatitlan,2025-01-28,50.0,0,36550,0.0,0.0,1462.0
Amatitlan,2025-04-15,8.0,739,36185,2.0422827138316983,29.560000000000002,1447.4
Amatitlan,2025-04-15,20.0,3,36185,0.008290728202293767,0.12,1447.4
Amatitlan,2025-04-15,25.0,1,36185,0.002763576067431256,0.04,1447.4
Amatitlan,2025-04-15,50.0,0,36185,0.0,0.0,1447.4
Amatitlan,2025-04-28,8.0,4912,36184,13.575060800353748,196.48000000000002,1447.3600000000001
Amatitlan,2025-04-28,20.0,207,36184,0.5720760557152332,8.28,1447.3600000000001
Amatitlan,2025-04-28,25.0,64,36184,0.17687375635640062,2.56,1447.3600000000001
Amatitlan,2025-04-28,50.0,0,36184,0.0,0.0,1447.3600000000001
Amatitlan,2025-11-24,8.0,1029,36434,2.824285008508536,41.160000000000004,1457.3600000000001
Amatitlan,2025-11-24,20.0,381,36434,1.0457265191853764,15.24,1457.3600000000001
Amatitlan,2025-11-24,25.0,303,36434,0.8316407751001812,12.120000000000001,1457.3600000000001
Amatitlan,2025-11-24,50.0,152,36434,0.4171927320634572,6.08,1457.3600000000001
Amatitlan,2026-01-08,8.0,3484,36668,9.501472673720956,139.36,1466.72
Amatitlan,2026-01-08,20.0,1165,36668,3.1771571942838444,46.6,1466.72
Amatitlan,2026-01-08,25.0,917,36668,2.5008181520671977,36.68,1466.72
Amatitlan,2026-01-08,50.0,383,36668,1.044507472455547,15.32,1466.72
Amatitlan,2026-02-02,8.0,6,36130,0.016606698034874065,0.24,1445.2
Amatitlan,2026-02-02,20.0,0,36130,0.0,0.0,1445.2
Amatitlan,2026-02-02,25.0,0,36130,0.0,0.0,1445.2
Amatitlan,2026-02-02,50.0,0,36130,0.0,0.0,1445.2
Amatitlan,2026-02-07,8.0,35,36561,0.09573042312847023,1.4000000000000001,1462.44
Amatitlan,2026-02-07,20.0,0,36561,0.0,0.0,1462.44
Amatitlan,2026-02-07,25.0,0,36561,0.0,0.0,1462.44
Amatitlan,2026-02-07,50.0,0,36561,0.0,0.0,1462.44
Amatitlan,2026-03-29,8.0,3906,36594,10.673880964092474,156.24,1463.76
Amatitlan,2026-03-29,20.0,1034,36594,2.825599825107941,41.36,1463.76
Amatitlan,2026-03-29,25.0,461,36594,1.2597693610974476,18.44,1463.76
Amatitlan,2026-03-29,50.0,1,36594,0.002732688418866481,0.04,1463.76
Amatitlan,2026-04-13,8.0,5599,36786,15.220464307073343,223.96,1471.44
Amatitlan,2026-04-13,20.0,31,36786,0.08427119012667862,1.24,1471.44
Amatitlan,2026-04-13,25.0,12,36786,0.032621105855488504,0.48,1471.44
