lago,umbral_ug_L,n_fechas_superadas,n_pixeles,area_ha
Amatitlan,8.0,0,7533,301.32
Amatitlan,8.0,1,9980,399.2
Amatitlan,8.0,2,14181,567.24
Amatitlan,8.0,3,4088,163.52
Amatitlan,8.0,4,1321,52.84
Amatitlan,8.0,5,408,16.32
Amatitlan,8.0,6,7,0.28
Amatitlan,8.0,7,1,0.04
Amatitlan,8.0,8,1,0.04
Amatitlan,8.0,9,1,0.04
Amatitlan,20.0,0,28444,1137.76
Amatitlan,20.0,1,8392,335.68
Amatitlan,20.0,2,679,27.16
Amatitlan,20.0,3,6,0.24
Amatitlan,25.0,0,32491,1299.64
Amatitlan,25.0,1,4879,195.16
Amatitlan,25.0,2,151,6.04
Amatitlan,50.0,0,36918,1476.72
Amatitlan,50.0,1,602,24.080000000000002
Amatitlan,50.0,2,1,0.04
