lake,date,filas,estado,dataset_version,schema_hash,archivo
Amatitlan,2025-01-28,36550,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2025-01-28\part-0.parquet
Amatitlan,2025-04-15,36184,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2025-04-15\part-0.parquet
Amatitlan,2025-04-28,36184,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2025-04-28\part-0.parquet
Amatitlan,2025-11-24,36434,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2025-11-24\part-0.parquet
Amatitlan,2026-01-08,36668,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-01-08\part-0.parquet
Amatitlan,2026-02-02,36130,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-02-02\part-0.parquet
Amatitlan,2026-02-07,36561,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-02-07\part-0.parquet
Amatitlan,2026-03-29,36594,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-03-29\part-0.parquet
Amatitlan,2026-04-13,36786,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-04-13\part-0.parquet
Amatitlan,2026-04-28,34911,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-04-28\part-0.parquet
Amatitlan,2026-06-19,36644,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Amatitlan\date=2026-06-19\part-0.parquet
Atitlan,2025-01-18,307893,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-01-18\part-0.parquet
Atitlan,2025-04-13,305329,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-04-13\part-0.parquet
Atitlan,2025-05-13,305290,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-05-13\part-0.parquet
Atitlan,2025-07-17,298689,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-07-17\part-0.parquet
Atitlan,2025-11-21,305298,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-11-21\part-0.parquet
Atitlan,2025-12-29,309406,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2025-12-29\part-0.parquet
Atitlan,2026-02-12,306130,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2026-02-12\part-0.parquet
Atitlan,2026-03-24,305432,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2026-03-24\part-0.parquet
Atitlan,2026-04-13,304666,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2026-04-13\part-0.parquet
Atitlan,2026-04-28,304625,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2026-04-28\part-0.parquet
Atitlan,2026-07-22,304106,reutilizado,2.0,65825179def16792,outputs\parte2\data\pixels\lake=Atitlan\date=2026-07-22\part-0.parquet
