lake,date,observaciones
Amatitlan,2025-01-28,36550
Amatitlan,2025-04-15,36184
Amatitlan,2025-04-28,36184
Amatitlan,2025-11-24,36434
Amatitlan,2026-01-08,36668
Amatitlan,2026-02-02,36130
Amatitlan,2026-02-07,36561
Amatitlan,2026-03-29,36594
Amatitlan,2026-04-13,36786
Amatitlan,2026-04-28,34911
Amatitlan,2026-06-19,36644
Atitlan,2025-01-18,307893
Atitlan,2025-04-13,305329
Atitlan,2025-05-13,305290
Atitlan,2025-07-17,298689
Atitlan,2025-11-21,305298
Atitlan,2025-12-29,309406
Atitlan,2026-02-12,306130
Atitlan,2026-03-24,305432
Atitlan,2026-04-13,304666
Atitlan,2026-04-28,304625
Atitlan,2026-07-22,304106
