lake,spatial_block_1km,n,positivos,pct_positivo
Amatitlan,Amatitlan_755_1594,1,0,0.0
Amatitlan,Amatitlan_755_1603,1,0,0.0
Amatitlan,Amatitlan_756_1601,1,0,0.0
Amatitlan,Amatitlan_757_1598,1,0,0.0
Amatitlan,Amatitlan_757_1601,146,35,23.972602739726028
Amatitlan,Amatitlan_757_1602,5800,1048,18.06896551724138
Amatitlan,Amatitlan_757_1603,4701,1187,25.24994681982557
Amatitlan,Amatitlan_758_1601,9049,1552,17.151066416178583
Amatitlan,Amatitlan_758_1602,24137,4451,18.440568421924844
Amatitlan,Amatitlan_758_1603,1503,339,22.55489021956088
Amatitlan,Amatitlan_759_1594,2872,2,0.06963788300835655
Amatitlan,Amatitlan_759_1595,9,0,0.0
Amatitlan,Amatitlan_759_1600,173,45,26.01156069364162
Amatitlan,Amatitlan_759_1601,10069,2476,24.590326745456352
Amatitlan,Amatitlan_759_1602,17817,3850,21.60857607902565
Amatitlan,Amatitlan_760_1594,166,0,0.0
Amatitlan,Amatitlan_760_1595,4,0,0.0
Amatitlan,Amatitlan_760_1600,16902,2962,17.524553307300913
Amatitlan,Amatitlan_760_1601,27133,5152,18.987948254892565
Amatitlan,Amatitlan_760_1602,12356,2439,19.73939786338621
Amatitlan,Amatitlan_760_1603,9,0,0.0
Amatitlan,Amatitlan_761_1599,6452,754,11.686298822070675
Amatitlan,Amatitlan_761_1600,21405,5607,26.194814295725298
Amatitlan,Amatitlan_761_1601,15111,3479,23.02296340414268
Amatitlan,Amatitlan_761_1602,13584,2454,18.065371024734983
Amatitlan,Amatitlan_761_1603,1707,395,23.14001171646163
Amatitlan,Amatitlan_762_1598,7596,277,3.6466561348077935
Amatitlan,Amatitlan_762_1599,11542,1125,9.747010916652227
Amatitlan,Amatitlan_762_1600,6776,2066,30.48996458087367
Amatitlan,Amatitlan_762_1601,792,316,39.898989898989896
Amatitlan,Amatitlan_762_1602,949,234,24.65753424657534
Amatitlan,Amatitlan_762_1603,2,2,100.0
Amatitlan,Amatitlan_763_1596,4535,459,10.1212789415656
Amatitlan,Amatitlan_763_1597,18886,989,5.236683257439373
Amatitlan,Amatitlan_763_1598,24107,709,2.9410544655079436
Amatitlan,Amatitlan_763_1599,1947,110,5.649717514124294
Amatitlan,Amatitlan_763_1600,67,0,0.0
Amatitlan,Amatitlan_764_1594,1,0,0.0
Amatitlan,Amatitlan_764_1595,1494,130,8.701472556894243
Amatitlan,Amatitlan_764_1596,25340,3614,14.262036306235201
Amatitlan,Amatitlan_764_1597,27498,1190,4.327587460906248
Amatitlan,Amatitlan_764_1598,13635,1355,9.937660432709938
Amatitlan,Amatitlan_764_1601,222,94,42.34234234234234
Amatitlan,Amatitlan_765_1595,4411,408,9.249603264565858
Amatitlan,Amatitlan_765_1596,19331,3048,15.767420205886918
Amatitlan,Amatitlan_765_1597,18826,1345,7.144374800807394
Amatitlan,Amatitlan_765_1598,16888,1868,11.061108479393653
Amatitlan,Amatitlan_765_1600,17,0,0.0
Amatitlan,Amatitlan_765_1601,2,0,0.0
Amatitlan,Amatitlan_765_1602,11,0,0.0
Amatitlan,Amatitlan_765_1603,2,0,0.0
Amatitlan,Amatitlan_766_1595,2,0,0.0
Amatitlan,Amatitlan_766_1597,4,0,0.0
Amatitlan,Amatitlan_766_1598,3627,430,11.855527984560243
Amatitlan,Amatitlan_766_1603,7,0,0.0
Amatitlan,Amatitlan_767_1596,2,0,0.0
Amatitlan,Amatitlan_767_1597,1,0,0.0
Amatitlan,Amatitlan_767_1598,3,0,0.0
Amatitlan,Amatitlan_767_1603,9,0,0.0
Amatitlan,Amatitlan_768_1603,5,0,0.0
Atitlan,Atitlan_680_1614,403,0,0.0
Atitlan,Atitlan_680_1615,86,0,0.0
Atitlan,Atitlan_680_1616,26,0,0.0
Atitlan,Atitlan_680_1617,116,0,0.0
Atitlan,Atitlan_680_1618,5,0,0.0
Atitlan,Atitlan_681_1614,74,0,0.0
Atitlan,Atitlan_681_1615,150,0,0.0
Atitlan,Atitlan_681_1616,38,0,0.0
Atitlan,Atitlan_681_1617,382,0,0.0
Atitlan,Atitlan_681_1618,348,0,0.0
Atitlan,Atitlan_681_1622,1,0,0.0
Atitlan,Atitlan_681_1630,6,0,0.0
Atitlan,Atitlan_682_1614,134,0,0.0
Atitlan,Atitlan_682_1615,57,0,0.0
Atitlan,Atitlan_682_1617,10,0,0.0
Atitlan,Atitlan_682_1618,413,0,0.0
Atitlan,Atitlan_682_1619,38,0,0.0
Atitlan,Atitlan_682_1626,1,0,0.0
Atitlan,Atitlan_682_1627,2,0,0.0
Atitlan,Atitlan_682_1628,1,0,0.0
Atitlan,Atitlan_682_1631,2,0,0.0
Atitlan,Atitlan_683_1614,126,0,0.0
Atitlan,Atitlan_683_1615,2,0,0.0
Atitlan,Atitlan_683_1616,1,0,0.0
Atitlan,Atitlan_683_1618,37,0,0.0
Atitlan,Atitlan_683_1622,88,0,0.0
Atitlan,Atitlan_683_1627,2,0,0.0
Atitlan,Atitlan_683_1630,3,0,0.0
Atitlan,Atitlan_684_1614,59,0,0.0
Atitlan,Atitlan_684_1615,11,0,0.0
Atitlan,Atitlan_684_1616,16,0,0.0
Atitlan,Atitlan_684_1622,1,0,0.0
Atitlan,Atitlan_684_1624,2,0,0.0
Atitlan,Atitlan_684_1625,3293,10,0.30367446097783174
Atitlan,Atitlan_684_1626,10462,2,0.019116803670426306
Atitlan,Atitlan_684_1627,420,0,0.0
Atitlan,Atitlan_685_1614,1,0,0.0
Atitlan,Atitlan_685_1615,1,0,0.0
Atitlan,Atitlan_685_1616,5,0,0.0
Atitlan,Atitlan_685_1623,1,0,0.0
Atitlan,Atitlan_685_1624,6,0,0.0
Atitlan,Atitlan_685_1625,16602,7,0.04216359474762077
Atitlan,Atitlan_685_1626,27338,2,0.007315824127587973
Atitlan,Atitlan_685_1627,6908,15,0.21713954834973942
Atitlan,Atitlan_686_1621,3,0,0.0
Atitlan,Atitlan_686_1622,13,0,0.0
Atitlan,Atitlan_686_1624,1363,0,0.0
Atitlan,Atitlan_686_1625,18631,3,0.01610219526595459
Atitlan,Atitlan_686_1626,27435,1,0.003644979041370512
Atitlan,Atitlan_686_1627,22002,1,0.004545041359876375
Atitlan,Atitlan_686_1628,4424,1,0.022603978300180832
Atitlan,Atitlan_687_1617,84,9,10.714285714285714
Atitlan,Atitlan_687_1622,57,0,0.0
Atitlan,Atitlan_687_1623,1528,0,0.0
Atitlan,Atitlan_687_1624,20588,1,0.004857198367981349
Atitlan,Atitlan_687_1625,25609,0,0.0
Atitlan,Atitlan_687_1626,27483,2,0.007277225921478732
Atitlan,Atitlan_687_1627,27486,10,0.03638215818962381
Atitlan,Atitlan_687_1628,8128,3,0.036909448818897635
Atitlan,Atitlan_688_1614,39,0,0.0
Atitlan,Atitlan_688_1615,2,0,0.0
Atitlan,Atitlan_688_1616,14375,539,3.7495652173913046
Atitlan,Atitlan_688_1617,26009,114,0.4383098158329809
Atitlan,Atitlan_688_1618,9739,3,0.03080398398192833
Atitlan,Atitlan_688_1623,13525,5,0.036968576709796676
Atitlan,Atitlan_688_1624,27477,0,0.0
Atitlan,Atitlan_688_1625,27436,0,0.0
Atitlan,Atitlan_688_1626,27441,0,0.0
Atitlan,Atitlan_688_1627,27434,1,0.0036451119049354815
Atitlan,Atitlan_688_1628,9350,0,0.0
Atitlan,Atitlan_689_1614,5,0,0.0
Atitlan,Atitlan_689_1615,1,0,0.0
Atitlan,Atitlan_689_1616,201,72,35.82089552238806
Atitlan,Atitlan_689_1617,13507,390,2.8873917228103947
Atitlan,Atitlan_689_1618,26968,3,0.011124295461287452
Atitlan,Atitlan_689_1619,13868,25,0.18027112777617538
Atitlan,Atitlan_689_1620,3091,3,0.09705596894208994
Atitlan,Atitlan_689_1621,8040,0,0.0
Atitlan,Atitlan_689_1622,16380,0,0.0
Atitlan,Atitlan_689_1623,26831,0,0.0
Atitlan,Atitlan_689_1624,27476,0,0.0
Atitlan,Atitlan_689_1625,27409,0,0.0
Atitlan,Atitlan_689_1626,27340,0,0.0
Atitlan,Atitlan_689_1627,27340,0,0.0
Atitlan,Atitlan_689_1628,25104,2,0.007966857871255577
Atitlan,Atitlan_689_1629,5111,2,0.03913128546272745
Atitlan,Atitlan_690_1618,5246,43,0.819672131147541
Atitlan,Atitlan_690_1619,8869,26,0.29315593640771226
Atitlan,Atitlan_690_1620,14430,103,0.7137907137907138
Atitlan,Atitlan_690_1621,24148,29,0.12009276130528408
Atitlan,Atitlan_690_1622,27499,0,0.0
Atitlan,Atitlan_690_1623,27490,0,0.0
Atitlan,Atitlan_690_1624,27486,0,0.0
Atitlan,Atitlan_690_1625,27451,0,0.0
Atitlan,Atitlan_690_1626,27453,0,0.0
Atitlan,Atitlan_690_1627,27460,1,0.003641660597232338
Atitlan,Atitlan_690_1628,27406,2,0.007297672042618404
Atitlan,Atitlan_690_1629,5805,1,0.017226528854435832
Atitlan,Atitlan_691_1614,1,1,100.0
Atitlan,Atitlan_691_1621,11381,71,0.6238467621474387
Atitlan,Atitlan_691_1622,27492,1,0.0036374217954313983
Atitlan,Atitlan_691_1623,27495,0,0.0
Atitlan,Atitlan_691_1624,27482,0,0.0
Atitlan,Atitlan_691_1625,27475,0,0.0
Atitlan,Atitlan_691_1626,27446,0,0.0
Atitlan,Atitlan_691_1627,27429,1,0.003645776368077582
Atitlan,Atitlan_691_1628,27489,0,0.0
Atitlan,Atitlan_691_1629,20112,4,0.01988862370723946
Atitlan,Atitlan_692_1621,1921,8,0.41644976574700676
Atitlan,Atitlan_692_1622,23170,15,0.06473888649115235
Atitlan,Atitlan_692_1623,27489,0,0.0
Atitlan,Atitlan_692_1624,27483,0,0.0
Atitlan,Atitlan_692_1625,27491,0,0.0
Atitlan,Atitlan_692_1626,27461,0,0.0
Atitlan,Atitlan_692_1627,27465,0,0.0
Atitlan,Atitlan_692_1628,27478,1,0.0036392750564087635
Atitlan,Atitlan_692_1629,26222,1,0.0038135916406071236
Atitlan,Atitlan_692_1630,3469,0,0.0
Atitlan,Atitlan_693_1616,180,0,0.0
Atitlan,Atitlan_693_1621,594,4,0.6734006734006734
Atitlan,Atitlan_693_1622,23272,17,0.07304915778618082
Atitlan,Atitlan_693_1623,27497,0,0.0
