lake,date,error_type,n_pixeles,area_ha
Amatitlan,2025-01-28,FN,44,1.76
Amatitlan,2025-01-28,FP,2,0.08
Amatitlan,2025-01-28,TN,36504,1460.16
Amatitlan,2025-04-15,FN,282,11.28
Amatitlan,2025-04-15,FP,49,1.96
Amatitlan,2025-04-15,TN,35396,1415.84
Amatitlan,2025-04-15,TP,457,18.28
Amatitlan,2025-04-28,FN,1715,68.60000000000001
Amatitlan,2025-04-28,FP,105,4.2
Amatitlan,2025-04-28,TN,31167,1246.68
Amatitlan,2025-04-28,TP,3197,127.88000000000001
Amatitlan,2025-11-24,FN,438,17.52
Amatitlan,2025-11-24,FP,10,0.4
Amatitlan,2025-11-24,TN,35395,1415.8
Amatitlan,2025-11-24,TP,591,23.64
Amatitlan,2026-01-08,FN,1013,40.52
Amatitlan,2026-01-08,FP,57,2.2800000000000002
Amatitlan,2026-01-08,TN,33127,1325.08
Amatitlan,2026-01-08,TP,2471,98.84
Amatitlan,2026-02-02,FN,6,0.24
Amatitlan,2026-02-02,TN,36124,1444.96
Amatitlan,2026-02-07,FN,35,1.4000000000000001
Amatitlan,2026-02-07,TN,36526,1461.04
Amatitlan,2026-03-29,FN,1555,62.2
Amatitlan,2026-03-29,FP,3,0.12
Amatitlan,2026-03-29,TN,32685,1307.4
Amatitlan,2026-03-29,TP,2351,94.04
Amatitlan,2026-04-13,FN,2881,115.24000000000001
Amatitlan,2026-04-13,FP,146,5.84
Amatitlan,2026-04-13,TN,31041,1241.64
Amatitlan,2026-04-13,TP,2718,108.72
Amatitlan,2026-04-28,FN,1708,68.32000000000001
Amatitlan,2026-04-28,FP,182,7.28
Amatitlan,2026-04-28,TN,19543,781.72
Amatitlan,2026-04-28,TP,13478,539.12
Amatitlan,2026-06-19,FN,2335,93.4
Amatitlan,2026-06-19,FP,164,6.5600000000000005
Amatitlan,2026-06-19,TN,13424,536.96
Amatitlan,2026-06-19,TP,20721,828.84
Atitlan,2025-01-18,FN,171,6.84
Atitlan,2025-01-18,FP,20,0.8
Atitlan,2025-01-18,TN,307594,12303.76
Atitlan,2025-01-18,TP,108,4.32
Atitlan,2025-04-13,FN,19,0.76
Atitlan,2025-04-13,TN,305309,12212.36
Atitlan,2025-04-13,TP,1,0.04
Atitlan,2025-05-13,FN,23,0.92
Atitlan,2025-05-13,FP,1,0.04
Atitlan,2025-05-13,TN,305266,12210.64
Atitlan,2025-07-17,FN,243,9.72
Atitlan,2025-07-17,FP,10,0.4
Atitlan,2025-07-17,TN,298330,11933.2
Atitlan,2025-07-17,TP,106,4.24
Atitlan,2025-11-21,FN,207,8.28
Atitlan,2025-11-21,FP,4,0.16
Atitlan,2025-11-21,TN,304961,12198.44
Atitlan,2025-11-21,TP,126,5.04
Atitlan,2025-12-29,FN,226,9.040000000000001
Atitlan,2025-12-29,FP,1,0.04
Atitlan,2025-12-29,TN,309148,12365.92
Atitlan,2025-12-29,TP,31,1.24
Atitlan,2026-02-12,FN,110,4.4
Atitlan,2026-02-12,FP,2,0.08
Atitlan,2026-02-12,TN,305969,12238.76
Atitlan,2026-02-12,TP,49,1.96
Atitlan,2026-03-24,FN,40,1.6
Atitlan,2026-03-24,FP,1,0.04
Atitlan,2026-03-24,TN,305391,12215.64
Atitlan,2026-04-13,FN,60,2.4
Atitlan,2026-04-13,FP,2,0.08
Atitlan,2026-04-13,TN,304602,12184.08
Atitlan,2026-04-13,TP,2,0.08
Atitlan,2026-04-28,FN,23,0.92
Atitlan,2026-04-28,FP,1,0.04
Atitlan,2026-04-28,TN,304601,12184.04
Atitlan,2026-07-22,FN,252,10.08
Atitlan,2026-07-22,FP,37,1.48
Atitlan,2026-07-22,TN,303464,12138.56
Atitlan,2026-07-22,TP,353,14.120000000000001
