grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
0,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
1,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
2,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
3,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
4,146,,4,0.9407730597461879,0.23972602739726026,16.0,111.0,0.0,19.0,0.8698630136986302,1.0,0.45714285714285713,0.6274509803921569,0.5128205128205128,0.966023166023166,0.9047788390664876,0.7285714285714285,1.0,0.0,0.5428571428571428,0.6247636915904048,0.06665278971195221,0.0,0.76,0.76
5,5800,,5,0.9407730597461879,0.18068965517241378,868.0,4746.0,6.0,180.0,0.9679310344827586,0.9931350114416476,0.8282442748091603,0.9032258064516129,0.8566916699565732,0.9931832639370807,0.977396916018174,0.913490824273267,0.9987373737373737,0.0012626262626262627,0.1717557251908397,0.889430072993246,0.023522021248936653,0.24,7.2,7.44
6,4701,,6,0.9407730597461879,0.2524994681982557,867.0,3510.0,4.0,320.0,0.9310784939374601,0.9954075774971297,0.7304128053917439,0.8425655976676385,0.7714895888948211,0.9926360270795503,0.9804132453739528,0.8646372507322977,0.9988616960728515,0.0011383039271485487,0.2695871946082561,0.8154715285018193,0.029735909774899483,0.16,12.8,12.96
7,9049,,7,0.9407730597461879,0.17151066416178584,782.0,7463.0,34.0,770.0,0.9111504033594873,0.9583333333333334,0.5038659793814433,0.660472972972973,0.5566628701594533,0.9776273481901352,0.9082063505958976,0.7496654159945766,0.9954648526077098,0.0045351473922902496,0.4961340206185567,0.657133881683472,0.04913108050823212,1.36,30.8,32.160000000000004
8,24137,,8,0.9407730597461879,0.18440568421924847,3839.0,19634.0,52.0,612.0,0.972490367485603,0.9866358262657414,0.8625028083576725,0.9204027811076481,0.884766075132519,0.9973744894369801,0.9897202504070978,0.9299306686307309,0.9973585289037895,0.002641471096210505,0.13749719164232757,0.9068505644894852,0.01705533266067505,2.08,24.48,26.560000000000002
9,1503,,9,0.9407730597461879,0.22554890219560877,265.0,1162.0,2.0,74.0,0.9494344644045243,0.9925093632958801,0.7817109144542773,0.8745874587458746,0.8163894023413432,0.9942954312765462,0.9839797477709604,0.889996350697929,0.9982817869415808,0.001718213058419244,0.2182890855457227,0.85290765460457,0.024113934487104416,0.08,2.96,3.04
10,2872,,10,0.9407730597461879,0.0006963788300835655,0.0,2870.0,0.0,2.0,0.9993036211699164,0.0,0.0,0.0,0.0,0.9263066202090593,0.011631274131274131,0.5,1.0,0.0,1.0,0.0,0.0030634310096502304,0.0,0.08,0.08
11,9,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
12,173,,12,0.9407730597461879,0.26011560693641617,32.0,128.0,0.0,13.0,0.9248554913294798,1.0,0.7111111111111111,0.8311688311688312,0.7547169811320755,0.9946180555555555,0.9880927214038917,0.8555555555555556,1.0,0.0,0.28888888888888886,0.80345981563169,0.021293800324201584,0.0,0.52,0.52
13,10069,,13,0.9407730597461879,0.2459032674545635,2163.0,7581.0,12.0,313.0,0.9677227132783792,0.9944827586206897,0.8735864297253635,0.9301225542894002,0.8953555757926981,0.9985156062668894,0.9955210354276398,0.9360030133612989,0.9984195969972343,0.0015804030027657052,0.1264135702746365,0.9124799174133233,0.017427124083042145,0.48,12.52,13.0
14,17817,,14,0.9407730597461879,0.2160857607902565,3422.0,13950.0,17.0,428.0,0.9750238536229444,0.9950567025298052,0.8888311688311689,0.9389491013856496,0.9082223047932481,0.9985378336133688,0.9950954019629781,0.9438070070546623,0.9987828452781556,0.0012171547218443473,0.11116883116883117,0.9256371026113663,0.014324702322483063,0.68,17.12,17.8
15,166,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
16,4,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
17,16902,,17,0.9407730597461879,0.1752455330730091,2661.0,13926.0,14.0,301.0,0.9813631522896699,0.994766355140187,0.8983794733288318,0.944119212346993,0.916133030365627,0.9989664637779158,0.9955161872945396,0.9486875845840717,0.9989956958393114,0.0010043041606886656,0.10162052667116812,0.9347154112765329,0.013714197091758251,0.56,12.040000000000001,12.6
18,27133,,18,0.9407730597461879,0.18987948254892567,4811.0,21963.0,18.0,341.0,0.9867688792245605,0.9962725201905156,0.9338121118012422,0.9640316601542932,0.9456696937531942,0.9996442615177816,0.9985300853040957,0.9664966113803537,0.999181110959465,0.0008188890405350075,0.06618788819875776,0.9566876297614653,0.008771692402660847,0.72,13.64,14.36
19,12356,,19,0.9407730597461879,0.1973939786338621,2297.0,9903.0,14.0,142.0,0.9873745548721269,0.9939420164430982,0.941779417794178,0.9671578947368421,0.9517692881412115,0.9996344402286415,0.9985684419165286,0.9701838502704883,0.9985882827467985,0.001411717253201573,0.05822058220582206,0.959884142712374,0.007564243394881487,0.56,5.68,6.24
20,9,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
21,6452,,21,0.9407730597461879,0.11686298822070676,424.0,5683.0,15.0,330.0,0.9465282083075015,0.9658314350797267,0.5623342175066313,0.71081307627829,0.613603473227207,0.9883334279886005,0.9275794067142277,0.7798508574370644,0.9973674973674974,0.0026325026325026324,0.4376657824933687,0.7140451454660515,0.03536735102534294,0.6,13.200000000000001,13.8
