grupo,n,FN,FP,recall,precision,area_FN_ha
22,21405,1295.0,118.0,0.7690387016229713,0.9733634311512416,51.800000000000004
46,16888,979.0,24.0,0.4759100642398287,0.9737130339539978,39.160000000000004
7,9049,770.0,34.0,0.5038659793814433,0.9583333333333334,30.8
23,15111,689.0,128.0,0.8019545846507617,0.9561343385880741,27.560000000000002
27,11542,629.0,23.0,0.4408888888888889,0.9556840077071291,25.16
8,24137,612.0,52.0,0.8625028083576725,0.9866358262657414,24.48
44,19331,611.0,2.0,0.7995406824146981,0.999179991799918,24.44
39,25340,566.0,19.0,0.8433868289983398,0.9938050211933486,22.64
28,6776,512.0,33.0,0.7521781219748306,0.9792060491493384,20.48
41,13635,503.0,32.0,0.6287822878228783,0.9638009049773756,20.12
