grupo,n,FP,FN,precision,recall,area_FP_ha
23,15111,128.0,689.0,0.9561343385880741,0.8019545846507617,5.12
22,21405,118.0,1295.0,0.9733634311512416,0.7690387016229713,4.72
8,24137,52.0,612.0,0.9866358262657414,0.8625028083576725,2.08
7,9049,34.0,770.0,0.9583333333333334,0.5038659793814433,1.36
28,6776,33.0,512.0,0.9792060491493384,0.7521781219748306,1.32
41,13635,32.0,503.0,0.9638009049773756,0.6287822878228783,1.28
33,18886,28.0,212.0,0.9652173913043478,0.7856420626895855,1.12
46,16888,24.0,979.0,0.9737130339539978,0.4759100642398287,0.96
121,14375,24.0,266.0,0.9191919191919192,0.5064935064935064,0.96
27,11542,23.0,629.0,0.9556840077071291,0.4408888888888889,0.92
