grupo,n,FN,FP,recall,precision
"('Amatitlan', '2026-04-13')",36786,2881,146,0.48544382925522417,0.9490223463687151
"('Amatitlan', '2026-06-19')",36644,2335,164,0.8987248438584317,0.9921474742638257
"('Amatitlan', '2025-04-28')",36184,1715,105,0.6508550488599348,0.9682010902483343
"('Amatitlan', '2026-04-28')",34911,1708,182,0.887527986303174,0.9866764275256222
"('Amatitlan', '2026-03-29')",36594,1555,3,0.6018945212493599,0.9987255734919286
"('Amatitlan', '2026-01-08')",36668,1013,57,0.7092422502870264,0.9774525316455697
"('Amatitlan', '2025-11-24')",36434,438,10,0.5743440233236151,0.9833610648918469
"('Amatitlan', '2025-04-15')",36184,282,49,0.618403247631935,0.9031620553359684
"('Atitlan', '2026-07-22')",304106,252,37,0.5834710743801653,0.9051282051282051
"('Atitlan', '2025-07-17')",298689,243,10,0.3037249283667622,0.9137931034482759
