fase,modelo,perfil,semilla,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,fold,valido,motivo,umbral_op,bloques_train,bloques_val,bloques_compartidos,lagos_val,train_hasta,test_fecha,prevalencia_inestable,experimento,train,test,ejecutable,prevalencia_train,prevalencia_test,scale_pos_weight
random,random_forest,standard,42.0,umbral_0.5,0.5,1126953,0.0160113154674596,17401,1105959,2950,643,0.9968117570120492,0.8550439781828902,0.9643648858346264,0.9064201067847376,0.9403201227749738,0.9995691921806528,0.981435854681458,0.9808523067203844,0.9973397276061426,0.0026602723938573,0.0356351141653735,0.9064992731966672,0.00233795787894,,,,,,,,,,,,,,,,,,
random,random_forest,standard,42.0,umbral_operacional,0.940773059746188,1126953,0.0160113154674596,14578,1108671,238,3466,0.99671326133388,0.9839362850971922,0.8079139880292618,0.8872793670115642,0.8378931395990435,0.9995691921806528,0.981435854681458,0.9038496813316244,0.9997853746339872,0.0002146253660129,0.1920860119707381,0.8900603895946319,0.00233795787894,,,,,,,,,,,,,,,,,,
random,xgboost,standard,42.0,umbral_0.5,0.5,1126953,0.0160113154674596,17836,1102978,5931,208,0.9945525678533178,0.7504523078217696,0.9884726224783862,0.8531726100786874,0.9295102300324152,0.9996567133472324,0.9825686536789764,0.9915620611429272,0.9946514998074684,0.0053485001925315,0.0115273775216138,0.8588378214128456,0.0042857923544943,,,,,,,,,,,,,,,,,,
random,xgboost,standard,42.0,umbral_operacional,0.9964532852172852,1126953,0.0160113154674596,14526,1108699,210,3518,0.9966919649710324,0.9857491856677524,0.8050321436488583,0.8862721171446004,0.8356728645066274,0.9996567133472324,0.9825686536789764,0.9024213841629528,0.9998106246770474,0.0001893753229525,0.1949678563511416,0.8892847373530468,0.0042857923544943,,,,,,,,,,,,,,,,,,
random,logistic,standard,42.0,umbral_0.5,0.5,1126953,0.0160113154674596,17949,1088490,20419,95,0.9817969338561592,0.4678117180984153,0.9947350919973398,0.6363539672410126,0.8118486756404689,0.9979206241049312,0.913536640460088,0.9881607490477928,0.981586406098246,0.0184135939017538,0.0052649080026601,0.6757584143704674,0.0140570197254419,,,,,,,,,,,,,,,,,,
random,logistic,standard,42.0,umbral_operacional,0.9722217321395874,1126953,0.0160113154674596,14456,1107035,1874,3588,0.9951533027553056,0.885241886099204,0.8011527377521613,0.8411008320242044,0.8166677965335684,0.9979206241049312,0.913536640460088,0.8997313942208114,0.9983100506894614,0.0016899493105385,0.1988472622478386,0.8397232799341439,0.0140570197254419,,,,,,,,,,,,,,,,,,
spatial,random_forest,standard,,fold1,0.9503766666773948,751226,0.0157822013615077,8932,739230,140,2924,0.995921333926142,0.984567901234568,0.7533738191632928,0.8535932721712538,0.7904984423676013,0.9993312313961278,0.9728426912327642,0.8765922343851954,0.999810649607098,0.000189350392902,0.2466261808367071,0.8594147967671232,0.0025423818661259,1.0,True,,0.9503766666773948,267.0,41.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,xgboost,standard,,fold1,0.9963706731796264,751226,0.0157822013615077,9353,739192,178,2503,0.9964311671853744,0.9813241003042704,0.7888832658569501,0.8746434750081825,0.8210868229303836,0.9994888876379912,0.9750017985618028,0.8943212601787016,0.9997592545004532,0.0002407454995469,0.2111167341430499,0.8782098142444377,0.0043511502444744,1.0,True,,0.9963706731796264,267.0,41.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,random_forest,standard,,fold2,0.9503972619470776,751885,0.016840341275594,8980,739003,220,3682,0.994810376586845,0.9760869565217392,0.7092086558205655,0.8215167871192023,0.7502339259457291,0.999294791223827,0.9677164366553358,0.8544555230164956,0.9997023902124258,0.0002976097875742,0.2907913441794345,0.8297254160684626,0.0031476525124478,2.0,True,,0.9503972619470776,249.0,59.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,xgboost,standard,,fold2,0.9968337416648864,751885,0.016840341275594,9176,739083,140,3486,0.9951774539989492,0.9849720910261917,0.724688042963197,0.835016835016835,0.7651257421119338,0.9994033935720448,0.9723972297551882,0.8622493274582794,0.9998106119533618,0.0001893880466381,0.275311957036803,0.8427394535400725,0.0054137548431754,2.0,True,,0.9968337416648864,249.0,59.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,random_forest,standard,,fold3,0.9269418408582591,751054,0.0157072593981258,10571,739195,62,1226,0.9982850767055363,0.9941690962099126,0.8960752733745868,0.9425769059295588,0.9141142491482334,0.9998889485892424,0.993916398818312,0.947995702691403,0.999916132008219,8.386799178093681e-05,0.1039247266254132,0.9430182235418946,0.0012731518175541,3.0,True,,0.9269418408582591,234.0,74.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,xgboost,standard,,fold3,0.995554506778717,751054,0.0157072593981258,10583,739179,78,1214,0.998279750856796,0.9926836131694964,0.8970924811392726,0.9424703891708968,0.9147089837335132,0.9998722469205884,0.9933948501224872,0.948493484897387,0.9998944886555016,0.0001055113444985,0.1029075188607273,0.9428433081629374,0.0023039253428578,3.0,True,,0.995554506778717,234.0,74.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
