fold,modelo,valido,motivo,perfil,umbral_op,bloques_train,bloques_val,bloques_compartidos,lagos_val,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier
1,random_forest,True,,standard,0.9503766666773948,267,41,0,"Amatitlan,Atitlan",fold1,0.9503766666773948,751226,0.0157822013615077,8932,739230,140,2924,0.995921333926142,0.984567901234568,0.7533738191632928,0.8535932721712538,0.7904984423676013,0.9993312313961278,0.9728426912327642,0.8765922343851954,0.999810649607098,0.000189350392902,0.2466261808367071,0.8594147967671232,0.0025423818661259
1,xgboost,True,,standard,0.9963706731796264,267,41,0,"Amatitlan,Atitlan",fold1,0.9963706731796264,751226,0.0157822013615077,9353,739192,178,2503,0.9964311671853744,0.9813241003042704,0.7888832658569501,0.8746434750081825,0.8210868229303836,0.9994888876379912,0.9750017985618028,0.8943212601787016,0.9997592545004532,0.0002407454995469,0.2111167341430499,0.8782098142444377,0.0043511502444744
2,random_forest,True,,standard,0.9503972619470776,249,59,0,"Amatitlan,Atitlan",fold2,0.9503972619470776,751885,0.016840341275594,8980,739003,220,3682,0.994810376586845,0.9760869565217392,0.7092086558205655,0.8215167871192023,0.7502339259457291,0.999294791223827,0.9677164366553358,0.8544555230164956,0.9997023902124258,0.0002976097875742,0.2907913441794345,0.8297254160684626,0.0031476525124478
2,xgboost,True,,standard,0.9968337416648864,249,59,0,"Amatitlan,Atitlan",fold2,0.9968337416648864,751885,0.016840341275594,9176,739083,140,3486,0.9951774539989492,0.9849720910261917,0.724688042963197,0.835016835016835,0.7651257421119338,0.9994033935720448,0.9723972297551882,0.8622493274582794,0.9998106119533618,0.0001893880466381,0.275311957036803,0.8427394535400725,0.0054137548431754
3,random_forest,True,,standard,0.9269418408582591,234,74,0,"Amatitlan,Atitlan",fold3,0.9269418408582591,751054,0.0157072593981258,10571,739195,62,1226,0.9982850767055363,0.9941690962099126,0.8960752733745868,0.9425769059295588,0.9141142491482334,0.9998889485892424,0.993916398818312,0.947995702691403,0.999916132008219,8.386799178093681e-05,0.1039247266254132,0.9430182235418946,0.0012731518175541
3,xgboost,True,,standard,0.995554506778717,234,74,0,"Amatitlan,Atitlan",fold3,0.995554506778717,751054,0.0157072593981258,10583,739179,78,1214,0.998279750856796,0.9926836131694964,0.8970924811392726,0.9424703891708968,0.9147089837335132,0.9998722469205884,0.9933948501224872,0.948493484897387,0.9998944886555016,0.0001055113444985,0.1029075188607273,0.9428433081629374,0.0023039253428578
4,random_forest,True,,standard,0.958591016956443,240,68,0,"Amatitlan,Atitlan",fold4,0.958591016956443,751109,0.0157793342910283,7501,739125,132,4351,0.9940314921003476,0.982706668413468,0.6328889638879514,0.7699255837823967,0.6814011373339874,0.9992156433201878,0.9614618212898096,0.8163552031140153,0.9998214423400792,0.0001785576599207,0.3671110361120486,0.7861717129326302,0.0029760642003527
4,xgboost,True,,standard,0.9972338080406188,240,68,0,"Amatitlan,Atitlan",fold4,0.9972338080406188,751109,0.0157793342910283,7878,738897,360,3974,0.994229865438971,0.956300072833212,0.664697941275734,0.7842707814833251,0.7078675915609388,0.999189525308842,0.9531978632205026,0.8321054829197934,0.9995130245638526,0.0004869754361473,0.3353020587242659,0.7947526584343737,0.0052113221026957
5,random_forest,True,,standard,0.9386002796357276,242,66,0,"Amatitlan,Atitlan",fold5,0.9386002796357276,751236,0.0159457214510486,9550,739150,107,2429,0.9966242299357326,0.9889199544371958,0.7972284831788964,0.8827879460158994,0.8293818282875653,0.9996315746100456,0.9828719650914256,0.8985418716287985,0.9998552600787006,0.0001447399212993,0.2027715168211036,0.8863640428306186,0.0021345538937264
5,xgboost,True,,standard,0.9960415363311768,242,66,0,"Amatitlan,Atitlan",fold5,0.9960415363311768,751236,0.0159457214510486,9821,739115,142,2158,0.996938378884931,0.9857472648800564,0.8198514066282662,0.8951781970649895,0.8484078854161268,0.9996992548614207,0.9842716454654968,0.9098296609364483,0.9998079152446308,0.0001920847553692,0.1801485933717338,0.8975470660474895,0.0041543617844581
1,logistic,True,,standard,0.9693785905838013,267,41,0,"Amatitlan,Atitlan",fold1,0.9693785905838013,751226,0.015782201361507722,10075,738412,958,1781,0.9963539600599554,0.9131695821626031,0.8497807017543859,0.8803355323517847,0.8617445301674735,0.9983912280852337,0.9430164591287185,0.9242425020329066,0.9987043023114273,0.0012956976885727038,0.15021929824561403,0.8790728821204633,0.012957684695720673
2,logistic,True,,standard,0.9742985367774963,249,59,0,"Amatitlan,Atitlan",fold2,0.9742985367774963,751885,0.016840341275594008,9408,737754,1469,3254,0.9937184542848972,0.8649443780454169,0.7430105828463118,0.7993542631377714,0.7645672490857375,0.997131431453743,0.8618303970466233,0.8705116805641864,0.998012778282061,0.0019872217179389712,0.2569894171536882,0.7985548965179176,0.016400350257754326
3,logistic,True,,standard,0.9674109220504761,234,74,0,"Amatitlan,Atitlan",fold3,0.9674109220504761,751054,0.015707259398125832,11048,738394,863,749,0.9978536829575503,0.9275459659138612,0.9365092820208527,0.9320060738991058,0.9347027868491853,0.9986746738508498,0.9636317680369223,0.9676709468418219,0.9988326116627911,0.0011673883372088462,0.06349071797914724,0.9309268418572891,0.008025611750781536
4,logistic,True,,standard,0.9766291975975037,240,68,0,"Amatitlan,Atitlan",fold4,0.9766291975975037,751109,0.015779334291028332,6943,738215,1042,4909,0.9920770487372672,0.8695053224796493,0.5858083023962201,0.7000050410848414,0.6267037351289875,0.9969793920535344,0.8284883575552354,0.7921993895252413,0.9985904766542624,0.0014095233457376798,0.41419169760377994,0.7101248982871019,0.017689649015665054
