umbral_ug_L,spatial_block_1km,n_total,positivos,negativos,pct_positivo,ambas_clases
8.0,Amatitlan_757_1601,146,35,111,23.972602739726028,True
8.0,Amatitlan_757_1602,5800,1048,4752,18.06896551724138,True
8.0,Amatitlan_757_1603,4701,1187,3514,25.24994681982557,True
8.0,Amatitlan_758_1601,9049,1552,7497,17.151066416178583,True
8.0,Amatitlan_758_1602,24137,4451,19686,18.440568421924844,True
8.0,Amatitlan_758_1603,1503,339,1164,22.55489021956088,True
8.0,Amatitlan_759_1594,2872,2,2870,0.06963788300835655,True
8.0,Amatitlan_759_1600,173,45,128,26.01156069364162,True
8.0,Amatitlan_759_1601,10069,2476,7593,24.590326745456352,True
8.0,Amatitlan_759_1602,17817,3850,13967,21.60857607902565,True
8.0,Amatitlan_760_1600,16902,2962,13940,17.524553307300913,True
8.0,Amatitlan_760_1601,27133,5152,21981,18.987948254892565,True
8.0,Amatitlan_760_1602,12356,2439,9917,19.73939786338621,True
8.0,Amatitlan_761_1599,6452,754,5698,11.686298822070675,True
8.0,Amatitlan_761_1600,21405,5607,15798,26.194814295725298,True
8.0,Amatitlan_761_1601,15111,3479,11632,23.02296340414268,True
8.0,Amatitlan_761_1602,13584,2454,11130,18.065371024734983,True
8.0,Amatitlan_761_1603,1707,395,1312,23.14001171646163,True
8.0,Amatitlan_762_1598,7596,277,7319,3.6466561348077935,True
8.0,Amatitlan_762_1599,11542,1125,10417,9.747010916652227,True
8.0,Amatitlan_762_1600,6776,2066,4710,30.48996458087367,True
8.0,Amatitlan_762_1601,792,316,476,39.898989898989896,True
8.0,Amatitlan_762_1602,949,234,715,24.65753424657534,True
8.0,Amatitlan_762_1603,2,2,0,100.0,False
8.0,Amatitlan_763_1596,4535,459,4076,10.1212789415656,True
8.0,Amatitlan_763_1597,18886,989,17897,5.236683257439373,True
8.0,Amatitlan_763_1598,24107,709,23398,2.9410544655079436,True
8.0,Amatitlan_763_1599,1947,110,1837,5.649717514124294,True
8.0,Amatitlan_764_1595,1494,130,1364,8.701472556894243,True
8.0,Amatitlan_764_1596,25340,3614,21726,14.262036306235201,True
8.0,Amatitlan_764_1597,27498,1190,26308,4.327587460906248,True
8.0,Amatitlan_764_1598,13635,1355,12280,9.937660432709938,True
8.0,Amatitlan_764_1601,222,94,128,42.34234234234234,True
8.0,Amatitlan_765_1595,4411,408,4003,9.249603264565858,True
8.0,Amatitlan_765_1596,19331,3048,16283,15.767420205886918,True
8.0,Amatitlan_765_1597,18826,1345,17481,7.144374800807394,True
8.0,Amatitlan_765_1598,16888,1868,15020,11.061108479393653,True
8.0,Amatitlan_766_1598,3627,430,3197,11.855527984560243,True
8.0,Atitlan_684_1625,3293,10,3283,0.30367446097783174,True
8.0,Atitlan_684_1626,10462,2,10460,0.019116803670426306,True
8.0,Atitlan_685_1625,16602,7,16595,0.04216359474762077,True
8.0,Atitlan_685_1626,27338,2,27336,0.007315824127587973,True
8.0,Atitlan_685_1627,6908,15,6893,0.21713954834973942,True
8.0,Atitlan_686_1625,18631,3,18628,0.01610219526595459,True
8.0,Atitlan_686_1626,27435,1,27434,0.003644979041370512,True
8.0,Atitlan_686_1627,22002,1,22001,0.004545041359876375,True
8.0,Atitlan_686_1628,4424,1,4423,0.022603978300180832,True
8.0,Atitlan_687_1617,84,9,75,10.714285714285714,True
8.0,Atitlan_687_1624,20588,1,20587,0.004857198367981349,True
8.0,Atitlan_687_1626,27483,2,27481,0.007277225921478732,True
8.0,Atitlan_687_1627,27486,10,27476,0.03638215818962381,True
8.0,Atitlan_687_1628,8128,3,8125,0.036909448818897635,True
8.0,Atitlan_688_1616,14375,539,13836,3.7495652173913046,True
8.0,Atitlan_688_1617,26009,114,25895,0.4383098158329809,True
8.0,Atitlan_688_1618,9739,3,9736,0.03080398398192833,True
8.0,Atitlan_688_1623,13525,5,13520,0.036968576709796676,True
8.0,Atitlan_688_1627,27434,1,27433,0.0036451119049354815,True
8.0,Atitlan_689_1616,201,72,129,35.82089552238806,True
8.0,Atitlan_689_1617,13507,390,13117,2.8873917228103947,True
8.0,Atitlan_689_1618,26968,3,26965,0.011124295461287452,True
8.0,Atitlan_689_1619,13868,25,13843,0.18027112777617538,True
8.0,Atitlan_689_1620,3091,3,3088,0.09705596894208994,True
8.0,Atitlan_689_1628,25104,2,25102,0.007966857871255577,True
8.0,Atitlan_689_1629,5111,2,5109,0.03913128546272745,True
8.0,Atitlan_690_1618,5246,43,5203,0.819672131147541,True
8.0,Atitlan_690_1619,8869,26,8843,0.29315593640771226,True
8.0,Atitlan_690_1620,14430,103,14327,0.7137907137907138,True
8.0,Atitlan_690_1621,24148,29,24119,0.12009276130528408,True
8.0,Atitlan_690_1627,27460,1,27459,0.003641660597232338,True
8.0,Atitlan_690_1628,27406,2,27404,0.007297672042618404,True
8.0,Atitlan_690_1629,5805,1,5804,0.017226528854435832,True
8.0,Atitlan_691_1614,1,1,0,100.0,False
8.0,Atitlan_691_1621,11381,71,11310,0.6238467621474387,True
8.0,Atitlan_691_1622,27492,1,27491,0.0036374217954313983,True
8.0,Atitlan_691_1627,27429,1,27428,0.003645776368077582,True
8.0,Atitlan_691_1629,20112,4,20108,0.01988862370723946,True
8.0,Atitlan_692_1621,1921,8,1913,0.41644976574700676,True
8.0,Atitlan_692_1622,23170,15,23155,0.06473888649115235,True
8.0,Atitlan_692_1628,27478,1,27477,0.0036392750564087635,True
8.0,Atitlan_692_1629,26222,1,26221,0.0038135916406071236,True
8.0,Atitlan_693_1621,594,4,590,0.6734006734006734,True
8.0,Atitlan_693_1622,23272,17,23255,0.07304915778618082,True
8.0,Atitlan_693_1628,27465,1,27464,0.0036409976333515383,True
8.0,Atitlan_694_1622,3131,5,3126,0.15969338869370808,True
8.0,Atitlan_694_1624,27489,1,27488,0.003637818763869184,True
8.0,Atitlan_694_1627,27486,1,27485,0.0036382158189623807,True
8.0,Atitlan_694_1628,27489,2,27487,0.007275637527738368,True
8.0,Atitlan_694_1630,11398,1,11397,0.008773469029654325,True
8.0,Atitlan_695_1622,869,1,868,0.11507479861910241,True
8.0,Atitlan_695_1623,26514,3,26511,0.011314777098891152,True
8.0,Atitlan_695_1630,12257,4,12253,0.03263441298849637,True
8.0,Atitlan_696_1622,476,4,472,0.8403361344537815,True
8.0,Atitlan_696_1623,24847,26,24821,0.10464039924336942,True
8.0,Atitlan_696_1628,27461,1,27460,0.003641527985142566,True
8.0,Atitlan_696_1630,17947,1,17946,0.005571961887780688,True
8.0,Atitlan_697_1622,6493,5,6488,0.07700600646850454,True
8.0,Atitlan_697_1623,22911,9,22902,0.0392824407489852,True
8.0,Atitlan_697_1629,27487,2,27485,0.0072761669152690365,True
8.0,Atitlan_697_1630,20842,6,20836,0.028788024181940312,True
8.0,Atitlan_697_1631,3101,2,3099,0.06449532408900355,True
8.0,Atitlan_698_1621,2457,7,2450,0.2849002849002849,True
8.0,Atitlan_698_1622,23177,19,23158,0.08197782284161022,True
8.0,Atitlan_698_1629,18488,5,18483,0.02704456945045435,True
8.0,Atitlan_699_1619,275,4,271,1.4545454545454546,True
8.0,Atitlan_699_1620,1285,2,1283,0.1556420233463035,True
8.0,Atitlan_699_1621,24660,17,24643,0.0689375506893755,True
8.0,Atitlan_699_1622,26783,2,26781,0.007467423365567711,True
8.0,Atitlan_699_1629,12066,5,12061,0.04143875352229405,True
8.0,Atitlan_700_1618,953,254,699,26.65267576075551,True
8.0,Atitlan_700_1619,15634,169,15465,1.0809773570423435,True
8.0,Atitlan_700_1620,24520,6,24514,0.024469820554649267,True
8.0,Atitlan_700_1627,27373,2,27371,0.007306469879077924,True
8.0,Atitlan_700_1628,10740,6,10734,0.055865921787709494,True
8.0,Atitlan_701_1620,3740,2,3738,0.053475935828877004,True
8.0,Atitlan_701_1626,9690,3,9687,0.030959752321981424,True
8.0,Atitlan_701_1627,3062,3,3059,0.09797517962116264,True
8.0,Atitlan_702_1621,7871,3,7868,0.03811459789099225,True
8.0,Atitlan_702_1622,22627,1,22626,0.0044194988288328105,True
8.0,Atitlan_702_1624,16004,7,15997,0.04373906523369158,True
8.0,Atitlan_702_1625,12972,3,12969,0.02312673450508788,True
20.0,Amatitlan_757_1601,146,2,144,1.36986301369863,True
20.0,Amatitlan_757_1602,5800,194,5606,3.3448275862068964,True
20.0,Amatitlan_757_1603,4701,116,4585,2.467560093597107,True
20.0,Amatitlan_758_1601,9049,77,8972,0.850922753895458,True
20.0,Amatitlan_758_1602,24137,1804,22333,7.474002568670506,True
20.0,Amatitlan_758_1603,1503,79,1424,5.2561543579507655,True
20.0,Amatitlan_759_1600,173,7,166,4.046242774566474,True
20.0,Amatitlan_759_1601,10069,565,9504,5.6112821531433115,True
20.0,Amatitlan_759_1602,17817,717,17100,4.024246506145816,True
20.0,Amatitlan_760_1600,16902,846,16056,5.005324813631523,True
20.0,Amatitlan_760_1601,27133,790,26343,2.911583680389194,True
20.0,Amatitlan_760_1602,12356,45,12311,0.3641955325348009,True
20.0,Amatitlan_761_1599,6452,8,6444,0.12399256044637322,True
20.0,Amatitlan_761_1600,21405,21,21384,0.09810791871058164,True
20.0,Amatitlan_761_1601,15111,292,14819,1.932367149758454,True
20.0,Amatitlan_761_1602,13584,111,13473,0.8171378091872792,True
20.0,Amatitlan_761_1603,1707,38,1669,2.2261277094317515,True
20.0,Amatitlan_762_1598,7596,58,7538,0.7635597682991048,True
20.0,Amatitlan_762_1599,11542,50,11492,0.4332004851845434,True
20.0,Amatitlan_762_1600,6776,80,6696,1.1806375442739079,True
20.0,Amatitlan_762_1601,792,12,780,1.5151515151515151,True
20.0,Amatitlan_762_1602,949,12,937,1.2644889357218125,True
20.0,Amatitlan_763_1596,4535,180,4355,3.9691289966923926,True
20.0,Amatitlan_763_1597,18886,483,18403,2.557449962935508,True
20.0,Amatitlan_763_1598,24107,325,23782,1.3481561372215538,True
20.0,Amatitlan_763_1599,1947,22,1925,1.1299435028248588,True
20.0,Amatitlan_764_1596,25340,743,24597,2.932123125493291,True
20.0,Amatitlan_764_1597,27498,4,27494,0.014546512473634447,True
20.0,Amatitlan_764_1598,13635,231,13404,1.694169416941694,True
20.0,Amatitlan_764_1601,222,22,200,9.90990990990991,True
20.0,Amatitlan_765_1595,4411,259,4152,5.871684425300385,True
20.0,Amatitlan_765_1596,19331,1164,18167,6.021416377838705,True
20.0,Amatitlan_765_1597,18826,64,18762,0.3399553808562626,True
20.0,Amatitlan_765_1598,16888,299,16589,1.770487920416864,True
20.0,Amatitlan_766_1598,3627,48,3579,1.3234077750206783,True
20.0,Atitlan_685_1625,16602,1,16601,0.006023370678231539,True
20.0,Atitlan_685_1627,6908,3,6905,0.04342790966994789,True
20.0,Atitlan_687_1627,27486,6,27480,0.021829294913774284,True
20.0,Atitlan_687_1628,8128,1,8127,0.012303149606299213,True
20.0,Atitlan_688_1616,14375,11,14364,0.07652173913043478,True
20.0,Atitlan_688_1617,26009,1,26008,0.0038448229459033412,True
20.0,Atitlan_689_1616,201,4,197,1.9900497512437811,True
20.0,Atitlan_689_1617,13507,7,13500,0.05182497964018657,True
20.0,Atitlan_690_1621,24148,2,24146,0.008282259400364419,True
20.0,Atitlan_690_1628,27406,1,27405,0.003648836021309202,True
20.0,Atitlan_691_1621,11381,3,11378,0.026359722344257975,True
20.0,Atitlan_692_1622,23170,1,23169,0.0043159257660768235,True
20.0,Atitlan_694_1624,27489,1,27488,0.003637818763869184,True
20.0,Atitlan_697_1623,22911,1,22910,0.0043647156387761335,True
20.0,Atitlan_699_1620,1285,1,1284,0.07782101167315175,True
20.0,Atitlan_700_1618,953,15,938,1.5739769150052465,True
20.0,Atitlan_700_1619,15634,4,15630,0.02558526288857618,True
20.0,Atitlan_702_1624,16004,1,16003,0.006248437890527368,True
25.0,Amatitlan_757_1601,146,1,145,0.684931506849315,True
25.0,Amatitlan_757_1602,5800,54,5746,0.9310344827586207,True
25.0,Amatitlan_757_1603,4701,44,4657,0.9359710699851096,True
25.0,Amatitlan_758_1601,9049,11,9038,0.12156039341363686,True
25.0,Amatitlan_758_1602,24137,1246,22891,5.162199113394374,True
25.0,Amatitlan_758_1603,1503,11,1492,0.7318695941450433,True
25.0,Amatitlan_759_1600,173,2,171,1.1560693641618498,True
25.0,Amatitlan_759_1601,10069,205,9864,2.035951931671467,True
